,Unnamed: 0,track_name,price,rating_count_tot,user_rating,prime_genre
269,303,Hipstamatic,2.99,12557,3.5,14
270,304,Sing Karaoke Songs Unlimited with StarMaker,0.0,26227,4.0,6
271,305,TurboScan™ Pro - document & receipt scanner: scan multiple pages and photos to PDF,4.99,28388,5.0,11
272,307,Positivity with Andrew Johnson,2.99,282,4.0,12
273,308,Rat On A Scooter XL,0.99,19296,4.0,0
274,309,IMDb Movies & TV - Trailers and Showtimes,0.0,183425,4.5,13
275,310,Angry Birds,0.0,824451,4.5,0
276,311,DB Navigator,0.0,512,3.5,8
277,312,Video Calls with Santa,2.99,315,3.5,17
278,313,Voyages-sncf.com : book train and bus tickets,0.0,268,3.5,8
279,314,The Font Game,1.99,438,4.5,0
280,316,ImmobilienScout24: Real Estate Search in Germany,0.0,187,3.5,15
281,317,Grand Theft Auto: Chinatown Wars,4.99,15142,4.0,0
282,318,Southwest Airlines,0.0,30552,3.0,8
283,319,The Sims 3 World Adventures,2.99,9744,3.5,0
284,320,Star Chart,0.0,13482,4.5,16
285,321,TaxCaster – Free tax refund calculator,0.0,17516,3.5,5
286,322,Glow Hockey 2 FREE,0.0,186653,3.5,0
287,323,"Big Button Box - funny sounds, sound effects buttons, pro fx soundboard, fun games board, scary music, annoying fart noises, jokes, super cool dj effect, cat, dog & animal fx",0.99,10031,4.0,13
288,324,TV SPIELFILM - TV Programm mit Live TV,0.0,81,3.0,13
289,325,All-in-1 Logic GameBox,0.99,9854,4.0,0
290,326,Roadside America,2.99,1093,4.0,8
291,327,Pocket Yoga,2.99,4475,4.5,12
292,328,Sonic the Hedgehog 2,2.99,9405,4.0,0
293,330,Simply Being - Guided Meditation for Relaxation and Presence,1.99,2417,4.5,12
294,331,CamCard - Business card scanner & reader,0.99,2923,4.5,11
295,332,This American Life,2.99,8657,3.5,13
296,333,Timetracks - Slit-Scan Camera,0.99,70,2.0,14
297,335,franceinfo - l'actualité & les élections en direct,0.0,162,4.0,19
298,337,DOUBUTSU URANAI®-Animal Fortune-,0.99,5,4.0,17
299,338,Doodle Army,0.99,12354,4.0,0
300,339,Ameba,0.0,269,3.0,9
301,340,eBook: War and Peace,3.99,0,0.0,20
302,341,Plants vs. Zombies,0.99,426463,5.0,0
303,342,Weibo,0.0,7265,3.5,9
304,343,大众点评-发现品质生活,0.0,844,4.0,17
305,344,AlloCiné : Cinéma et Séries,0.0,101,4.0,13
306,345,"Badoo - Meet New People, Chat, Socialize.",0.0,34428,4.5,9
307,346,Flick Kick Field Goal,1.99,36946,4.5,0
308,347,Venmo,0.0,21090,4.5,5
309,348,"Dungeons & Such Treasures,Collectibles and Dragons",2.99,653,4.5,0
310,349,"StarMap 3D+: Night Sky, Astronomy, Star View Guide",3.99,1118,4.5,16
311,350,Shift Worker,1.99,348,4.0,1
312,351,"Spy Calc - Hide pictures, videos, documents",1.99,207,3.5,7
313,352,Waterlogged - Daily Hydration Tracker,0.0,5000,4.5,12
314,353,MyNetDiary PRO - Calorie Counter and Food Diary,3.99,15188,4.5,12
315,354,The Washington Post Classic,0.0,18572,4.5,19
316,355,F-Sim Space Shuttle,4.99,6403,4.5,0
317,356,"Groupon - Deals, Coupons & Discount Shopping App",0.0,417779,4.5,3
318,357,Learn to Speak Spanish Fast With MosaLingua,4.99,9,5.0,16
319,358,"Coaster VR, Extreme Endless 3D Stereograph",0.99,107,2.5,13
320,359,Parents Calling Easter Bunny,1.99,72,2.0,17
321,360,Sporcle,2.99,2044,3.5,0
322,361,"Univision Deportes: Liga MX, MLS, Fútbol En Vivo",0.0,16683,3.5,10
323,362,DOOM II RPG,0.99,1455,3.0,0
324,364,STREET FIGHTER IV,4.99,15056,4.0,0
325,365,Dr. Seuss Camera - The Cat in the Hat Edition,0.99,249,4.5,14
326,366,FINAL FANTASY,7.99,6091,4.0,0
327,367,FINAL FANTASY II,7.99,2754,4.0,0
328,369,Worms 2: Armageddon,4.99,9870,4.5,0
329,370,SoundHound Song Search & Music Player,0.0,82602,4.0,6
330,371,Jourist Weltübersetzer,7.99,0,0.0,8
331,372,TeachMe: 1st Grade,1.99,762,4.0,16
332,373,TeachMe: 3rd Grade,1.99,160,4.0,16
333,374,ヤフオク! 利用者数NO.1のオークション、フリマアプリ,0.0,9,3.0,3
334,375,Kik,0.0,260965,4.0,9
335,376,Slow Shutter Cam,1.99,2305,4.0,14
336,377,PeakFinder Earth,4.99,137,4.0,8
337,379,AgingBooth,0.0,11999,4.0,13
338,380,"iWatermark - Watermark 1 or Batch of Photos. Watermarking with Text, Logo, & Graphics Overlays.",1.99,1995,4.5,14
339,381,Tabs & Chords by Ultimate Guitar - learn and play,2.99,35045,4.5,6
340,382,"Dude, your car!",0.99,343,4.0,13
341,383,Drawing Pad,1.99,1824,4.0,13
342,385,ESPN Tournament Challenge,0.0,39642,4.0,10
343,386,Solitaire,0.0,679055,4.5,0
344,388,Notability,9.99,17594,4.0,1
345,390,Rubik's® Cube,1.99,3531,4.0,0
346,391,Super Why! Power to Read,3.99,1080,3.5,16
347,392,Amex Mobile,0.0,11421,4.0,5
348,393,Fruit Ninja Classic,1.99,698516,4.5,0
349,395,Animation Creator HD,3.99,4497,4.0,13
350,396,Plants vs. Zombies HD,0.99,163598,5.0,0
351,397,SCRABBLE Premium for iPad,9.99,39678,3.5,0
352,398,Graphic - illustration and design,8.99,1809,4.5,1
353,399,Ship Finder,4.99,624,3.5,15
354,400,Photogene ⁴,2.99,3761,4.5,14
355,401,Hurricane HD,3.99,353,4.0,2
356,402,Star Walk HD - Night Sky Map,4.99,6503,4.5,16
357,403,Space War HD,0.99,71,3.0,0
358,404,Netflix,0.0,308844,3.5,13
359,405,forScore,9.99,3909,4.5,6
360,406,ComicGlass [ComicReader],2.99,308,4.5,7
361,407,iAnnotate PDF,9.99,11156,4.5,1
362,408,ArtStudio for iPad - Draw Sketch and Paint,4.99,8542,4.5,14
363,409,Call of Duty: Zombies HD,4.99,5853,3.5,0
364,410,Small World 2,1.99,1506,4.0,0
365,411,Qzone,0.0,1649,3.5,9
366,412,ABC – Watch Live TV & Stream Full Episodes,0.0,78890,3.0,13
367,413,Fieldrunners for iPad,3.99,2147,4.0,0
368,414,Angry Birds HD,0.0,89110,4.5,0
369,415,"The Weather Channel App for iPad – best local forecast, radar map, and storm tracking",0.0,208648,4.0,2
370,416,Do Not Press The Red Button HD,1.99,856,2.5,13
371,417,"Digits, the calculator for humans",3.99,7825,4.5,1
372,418,"PDF Reader Pro Edition - Annotate,edit & sign PDFs",9.99,7033,4.0,11
373,422,National Geographic World Atlas,1.99,4255,4.0,4
374,423,FileBrowser - Access files on remote computers,5.99,3230,4.5,7
375,424,Dictionary.com Dictionary & Thesaurus for iPad,0.0,54175,4.5,4
376,425,Animation & Drawing by Do Ink,4.99,308,4.0,16
377,426,AirCoaster - Roller Coaster Builder,0.99,2602,3.0,0
378,427,"Documents 6 - File manager, PDF reader and browser",0.0,29110,4.5,1
379,428,The World Factbook for iPad,1.99,273,3.5,4
380,429,Photo Transfer App - Easy backup of photos+videos,0.0,15654,4.5,14
381,431,TwitCasting Viewer - Watch Live Video & Radio,0.0,189,2.5,13
382,432,Ski Tracks,0.99,829,4.5,15
